Label,Data
Phase 1 Perturbation,0.027236439964988014
Phase 2 Loss,0.007137493653730912
Phase 3 Gradient,0.020524122498252174
Phase 4 Generation,0.005916313691572709
Phase 5 Path Intergral,0.006093534556302157
Phase 6 Latent Map,0.0032706260681152344
Other,0.004763321443037563
